ID,Title,Description
191,Legal Honors Intern,"PLEASE READ VERY CAREFULLY – FAILURE TO FOLLOW THESE INSTRUCTIONS WILL RESULT IN YOUR APPLICATION NOT BEING CONSIDERED*** APPLICATION INSTRUCTIONS – PLEASE READ VERY CAREFULLY: Please upload a resume and cover letter with your application as follows: Upload solely one (1) PDF document comprising both your resume and cover letter. In your cover letter, clearly indicate the primary position to wh..."
192,SCaN Single-Sensor Geolocation Lab Demonstration,"NASA's Earth-based navigation resources have supported all space exploration missions over the past fifty years. In the next decade, the number of missions launched to explore the Moon is estimated at over forty, with the number of operators reaching over one hundred. This increased user base is expected to oversubscribe terrestrial networks. Organizations involved in lunar missions struggle to j..."
193,SCaN Lunar Communications Systems Engineering,"LCRNS is looking for a highly motivated student intern to help formulate the future of lunar communications and navigation interoperable system and architectures. The student will work to connect elements of the Project’s commercial lunar relays with Artemis lunar surface and orbiting systems, and broadly help define interoperable communications and navigation interfaces and requirements both in t..."
194,Data Management,"The intern will support the digitization of the Directorate information and communication processes to ensure ED documentation and platforms are configured to promote easily identifiable/accessible, organized, and findable information that can be more efficiently located, documented, shared, and reported. By using modernized technology, such as SharePoint, Teams, and Outlook the intern will have..."
195,Data Management,"The intern will support the digitization of the Directorate information and communication processes to ensure ED documentation and platforms are configured to promote easily identifiable/accessible, organized, and findable information that can be more efficiently located, documented, shared, and reported. By using modernized technology, such as SharePoint, Teams, and Outlook the intern will have..."
196,Next Gen STEM K-12 Intern,"Next Gen STEM is a project of NASA’s Office of STEM Engagement whose mission is to spark and sustain interest in STEM in students in grades K-12, by connecting students and their formal and informal educators to NASA’s endeavors in exploration and discovery. Next Gen STEM creates, delivers, and curates NASA STEM products and experiences that make connections to NASA and fuel STEM learning and iden..."
197,'Brain Bank' Power App Development,"This project will support the development of NASA’s Human Landing System (HLS) Knowledge Management initiative known as the 'Brain Bank.' The intern will be tasked with creating a Power App to capture and manage lessons learned in real time, integrating this tool with existing NASA systems like Microsoft 365 and Power BI. The intern will collaborate closely with the Knowledge Management Lead and N..."
198,Strategic Management Data Analysis & SharePoint Online Integrator,"Take advantage of this unique opportunity to develop interesting data integration products and to stand-up a new intranet SharePoint Online presence for the Strategic Management arm of the Marshall Space Flight Center (MSFC). Do you enjoy building queries, parsing data, building presentations, and using data creatively to present information to others? Then this exciting opportunity is for you. Yo..."
199,Engineering Assistant for Power and Propulsion Element (PPE),"Interns will focus on tasks related to the Power and Propulsion Element (PPE) of the Gateway Project. Technologies involved consist of time-triggered Ethernet, custom microprocessors, SpaceWire, RS-485, memory systems, space environments, and heritage electronics involved in PPE avionics. NASA engineers will serve as mentors to assist the interns as they research and learn these technologies."
200,AI & ML for Air Traffic Management,"This project explores the use of innovative and emerging applications of AI/ML (e.g., Natural Language Processing) to digitize and analyze heritage air traffic management (ATM) datasets. Given the rich volume of available text, audio and track data and the complexity of the problem space, this is an ideal candidate for the application of machine learning. The research is focused on optimizing curr..."
201,AI & ML for Air Traffic Management (For Graduate Students),"This project explores the use of innovative and emerging applications of AI/ML (e.g., Natural Language Processing) to digitize and analyze heritage air traffic management (ATM) datasets. Given the rich volume of available text, audio and track data and the complexity of the problem space, this is an ideal candidate for the application of machine learning. The research is focused on optimizing curr..."
202,ASTRO CAMP STEM Engagement Internship,"The student placed in this position will provide direct support to the ASTRO CAMP Collaborative Partners (ACCP) program, working alongside team members within the Southeast Regional Office of STEM Engagement (OSTEM) to advance the goals of ACCP. The student will leverage bilingual skills to translate NASA content for non-English speaking audiences through the ASTRO CAMP Collaborative Partners Prog..."
203,ASTRO CAMP Collaborative Partners Supporting Hispanic Programs in STEM,"The student placed in this position will provide direct support to the ASTRO CAMP Collaborative Partners (ACCP) program, working alongside team members within the Southeast Regional Office of STEM Engagement (OSTEM) to advance the goals of ACCP. The student will leverage bilingual skills to translate NASA content for non-English speaking audiences through the ASTRO CAMP Collaborative Partners Prog..."
204,Onsite - Rotorcraft Aeromechanics - Summer 2025,"The Aeromechanics Branch has numerous intern projects for aeromechanics technology solutions that will enable the development of vertical flight vehicles, both piloted and uninhabited, providing unlimited mobility in three dimensions for terrestrial and planetary science applications. Innovative and revolutionary ideas for vertical-flight vehicle technologies are developed, enhanced, analyzed, dem..."
205,Visualizing Engagement and Outcomes in JSC External R&D,"This summer internship project will focus on analyses of NASA JSC's external research and development programs, including small business and academia engagement activities. The intern will collect and analyze data from past programs' awards, exploring trends in participation, funding allocation, and project success rates across various sectors. The primary objective will be to develop insightf..."
206,Solar Sail Hardware Materials and Testing,"'Solar sails are an attractive spacecraft propulsion system which offers simple low-cost operations with no use of on-board propellant by deriving thrust directly from momentum transfer of solar photons. Applications include, but not limited to, interplanetary and interstellar exploration, heliophysics, and near-earth asteroid scout missions. The student is expected to study on development and cha..."
207,Thermoplastic Composite Cryotank,NASA Space Technology Program has been seeking a reliable cryogenic propulsion system or subsystem that operates with propellants that are liquefied gases at low temperature. The novel lightweight composite cryogenic pressure vessel is expected to make significant advancement to achieve about 30% weight and 25% cost savings over SOA metallic cryogenic pressure vessels at the 10-meter diameter scal...
208,Advanced Thermoplastic Composites for Aircraft Manufacturing,The Hi-Rate Composite Aircraft Manufacturing (HiCAM) project is focused on addressing the needs for providing a greater number of commercial aircraft to meet the market needs and to enable integration of more energy efficient aircraft into this industry. One aspect of this project is the use of thermoplastic composite materials for the manufacturing of aircraft components that have traditionally b...
209,AI & ML for Air Traffic Management (For Undergraduate Students),"This project explores the use of innovative and emerging applications of AI/ML (e.g., Natural Language Processing) to digitize and analyze heritage air traffic management (ATM) datasets. Given the rich volume of available text, audio and track data and the complexity of the problem space, this is an ideal candidate for the application of machine learning. The research is focused on optimizing curr..."
210,Virtual: Computational modeling of microbes in space,Can you think like a microbe? The way that microbes experience the world around them is dramatically different from the way we do; yet to understand how the stress of the space environment affects microbial biology may require adopting a microbial point of view. Computer models can help with this; they are also helpful with simulating experiments that are expensive and difficult to conduct in spac...
211,Virtual / Onsite: Biological data processing for a lunar mission,"The LEIA project will grow yeast on the lunar surface to help us understand the effects of the lunar environment on biology. The experiment generates time-series optical data in several different formats, and processing these data to extract biological information requires a complex set of tools. This internship will focus on coordinating and streamlining some existing data processing tools, and w..."
212,Structural Design/Analysis of Special Test Equipment,"Work will include design and/or analysis of ground hardware (test fixtures, lifting and handling equipment, personnel access, etc.). Work may include creating design drawings, static analysis via hand calculations and finite element modeling, performing trade studies of design options, and/or documentation of results. A summary of accomplished work will be presented to the branch at the end of t..."
213,Knowledge Management,"NASA's Office of the Chief Engineer is charged with managing knowledge learned from NASA projects. This includes the documentation of lessons, best practices, and other positive and negative experiences. It includes the use of the previous knowledge gained in ways that promote improved future project execution. The capture of knowlege from departing members of the workforce and the infusion of kn..."
214,Angle Measurement Electronics Development to Support Aeronautics Research,"Angle measurement systems provide key information during wind tunnel testing. Our group is responsible for maintaining existing and developing angle measurement technologies to support aeronautics wind tunnel testing for NASA. During this internship, you will serve as an aerodynamic measurement systems engineer focusing on the design, programing, and evaluation of support electronics of attitude s..."
215,Website Curator – Atmospheric Science Data Center (ASDC),"The Atmospheric Science Data Center (ASDC) is seeking a motivated and detail-oriented intern to assist with curating and maintaining the ASDC website while contributing to technical writing tasks. This is an exciting opportunity for students interested in web design, digital content management, and technical writing to support a NASA facility that provides critical atmospheric and Earth science da..."
216,Deep Space Logistics Strategy & Collaboration Team Intern,"This is not your average engineering internship! The assignment centers around technical content coordination and integration, and strategic communication in support of KSC's and DSL's participation in the NASA Exploration Systems Development Mission Directorate's Strategy and Architecture Office's Moon to Mars Strategy & Objectives, Architecture Concept Review, and Strategic Analyses Cycle. This ..."
217,Artificial Intelligence/Machine Learning for NASA Science,Utilize Machine Learning/Deep Learning techniques on large archives of NASA Science data and unstructured data. The problem will include extracting information from these data and creating a knowledge-base for intelligent querying.
218,Foundation Models for NASA Science,"The Inter-agency Implementation and Advanced Concepts Team (IMPACT) is looking for a passionate, talented, and inventive intern with a strong deep learning background, to build industry-leading technology with Foundation models including multimodal systems. Responsibilities include but not limited to leveraging NASA's diverse science data sets along with large-scale computing resources to fast-tra..."
219,SCaN Development of Monitor and Control Interfaces for Spacecraft Compatibility,The RF Compatibility Test Area (CTA) is a team of engineers that test the RF communication subsystems of future spacecraft to ensure compatibility with NASA's Near Space Network. These tests are conducted with portable test sets consisting of various test equipment and ground station systems. The focus of this internship will be implementing monitor and control of this test set equipment using COS...
220,SCaN Quantum Clock Synchronization,"**This is a FULLY ON-SITE intern experience in Greenbelt, MD, with only occasional telework.** The student will work on a multi-party clock synchronization project, which relies on quantum entanglement to share timing information to different parties. The student will need to run simulations of the protocol on various quantum computing simulators such as IBM Qiskit and Amazon Braket. We will al..."
221,NASA Historical Film Migration & Preservation Intern,"The NASA Johnson Space Center’s Moving Imagery Repository has over 50,000 video tapes and LTO data tapes that need to be converted to digital files and migrated onto a spinning disk object storage platform. Descriptive metadata from 3 different websites/databases and multiple spreadsheets must be consolidated to ensure the most accurate metadata is attached to the records which will eventually be ..."
222,SCaN Development of Monitor and Control Interfaces for Spacecraft Compatibility,The RF Compatibility Test Area (CTA) is a team of engineers that test the RF communication subsystems of future spacecraft to ensure compatibility with NASA's Near Space Network. These tests are conducted with portable test sets consisting of various test equipment and ground station systems. The focus of this internship will be implementing monitor and control of this test set equipment using COS...
223,High Temperature Materials and Structures,"Students will assist with the development of high-temperature (T > 2000°F) materials and structures for hypersonic vehicles. The primary material systems of interest are carbon/carbon (C/C) and ceramic matrix composites (CMC). This is a multi-disciplinary effort involving heat transfer, aerodynamic heating, thermal and mechanical testing, environmental testing, coatings, and materials and structur..."
224,MELD Project Intern,"The MELD project seeks to understand the behavior of dust on the moon and in it's immediate vicinity. The potential for the contamination of dust on lunar surface systems, habitats, landers, and even orbiting platforms such as the Deep Space Gateway has been a concern since the Apollo era, yet it remains poorly understood. The MELD project and its associated activities seeks to determine the dynam..."
225,HAS Design Challenge Facilitator 2024/2025,This opportunity is for Texas educators interested in supporting High School Aerospace Scholars as a Design Challenge Facilitator. HAS engineering design challenge facilitators support scholars during virtual or in person design challenges. This position works collaboratively with the HAS team to ensure the activity and participants meet NASA’s STEM engagement goals and outcomes. The facilit...
226,NASA MINDS 2025,"NASA MINDS is a multi-semester undergraduate level activity for Minority Serving Institutions (MSIs) that supports NASA’s Artemis mission. Students’ skills, creativity and innovation are challenged as they are asked to design and build technologies needed for the Artemis mission, with the support of their faculty. Prototypes developed by the students can serve as a potential resource to NASA. N..."
227,NASA Jet Propulsion Laboratory (JPL) Internship Opportunities. SG - Summer 2025,"Description We invite students majoring in the fields of Science, Technology, Engineering and Mathematics (STEM) to apply for internship opportunities to collaborate side-by-side with scientists and engineers in our creative and diverse research community. JPL’s technical competencies revolve around end-to-end implementation of unprecedented robotic space missions that study Earth, the solar ..."
228,ST Theresa May 7th Workshop for Middle Schoolers,ST Theresa's Student Workshop
229,Oct 17 Lunabotics Junior Workshop CLOSED,"This robotic coding and navigation workshop is an authentic introduction to block coding using lunar simulations - based on upcoming Artemis missions. Middle-school aged student groups (formal or informal) MUST be local (within driving distance) to the Kennedy Space Center (KSC). Groups of up to 50 students participate in a 2-hour workshop at the Kennedy Visitor Complex, engaging in hands-on cod..."
230,Sept 12 Lunabotics Junior Workshop,"This robotic coding and navigation workshop is an authentic introduction to block coding using lunar simulations - based on upcoming Artemis missions. Middle-school aged student groups (formal or informal) MUST be local (within driving distance) to the Kennedy Space Center (KSC). Groups of up to 50 students participate in a 2-hour workshop at the Kennedy Visitor Complex, engaging in hands-on cod..."
231,Sept 19 Lunabotics Jr Online Focus Group,"The Lunabotics Junior Workshop Focus Group is an online opportunity for U.S. educators to share their expertise with NASA: what aspect of robotics, the Moon, and coding will most benefit your middle schoolers as an online opportunity? How can we engage your students and provide EPD opportunities for you using our unique facility at Kennedy Space Center (KSC) with lunar soil simulant? Our rego..."
232,Oct 24 Lunabotics Junior Workshop CLOSED,"This robotic coding and navigation workshop is an authentic introduction to block coding using lunar simulations - based on upcoming Artemis missions. Middle-school aged student groups (formal or informal) MUST be local (within driving distance) to the Kennedy Space Center (KSC). Groups of up to 50 students participate in a 2-hour workshop at the Kennedy Visitor Complex, engaging in hands-on cod..."
233,CONNECTS Community of Practice FY25,"Registered community members will have the opportunity to sign up for engagement events, view and chat with other members who are interested in similar fields, read exclusive STEM content, and access resources such as lesson plans and interactive media. Explore Mission-Driven Resources Resources include discussions, articles, lesson plans, community events, professional learning opportunities,..."
234,Feb 13 Lunabotics Junior EPD workshop*,REQUIREMENT: MUST BE WITHIN DRIVING DISTANCE OF KENNEDY SPACE CENTER WHAT: Educators become software engineers for the day. Code robots to navigate and perform tasks on the south pole of the Moon on lunar maps. Experience is NOT required. Newbies are welcome! This is an introduction to block (Scratch) coding. GRADES: Middle-school educators (formal or informal) GROUP SIZE: Up to...
235,Dec 12 Lunabotics Junior Focus Group for Online Workshop,"Can teaching robotics be done virtually? Yes, but we need YOUR ideas and suggestions to make an online component that is grade appropriate, accessible, and fun! WHO: Middle School Educators (Formal or Informal) No coding or robotic experience are necessary. Newbies are welcome. GROUP SIZE: 50 Educators REQUIREMENT: Educators MUST be within driving distance of Kennedy Space Ce..."
236,Sept 26th - Lunabotics Junior Workshop*,"This robotic coding and navigation workshop is an authentic introduction to block coding using lunar simulations - based on upcoming Artemis missions. Middle-school aged student groups (formal or informal) MUST be local (within driving distance) to the Kennedy Space Center (KSC). Groups of up to 50 students participate in a 2-hour workshop at the Kennedy Visitor Complex, engaging in hands-on cod..."
237,Nov 7 Lunabotics Junior EPD Workshop*,REQUIREMENT: MUST BE WITHIN DRIVING DISTANCE OF KENNEDY SPACE CENTER WHAT: Educators become software engineers for the day. Code robots to navigate and perform tasks on the south pole of the Moon on lunar maps. Experience is NOT required. Newbies are welcome! This is an introduction to block (Scratch) coding. GRADES: Middle-school educators (formal or informal) GROUP SIZE: Up to...
238,NQuest Grades 6-8 (2024-2025),"Are you ready for NASA to inspire your classroom? NASA Quest (NQuest) is a virtual & in-person NASA STEM engagement, now available for classrooms grades 6-8. NQuest is offered at no cost to your school on a first-come, first-served basis, and is a collaboration between the NASA Ames Research Center, Chabot Space and Science Center, and NASA Office of STEM Engagement. NQuest offers virtual wo..."
239,Oct 24 Lunabotics Junior Workshop*,REQUIREMENT: MUST BE WITHIN DRIVING DISTANCE OF KENNEDY SPACE CENTER WHAT: This robotic coding and navigation workshop is an authentic introduction to block coding using lunar simulations - based on upcoming Artemis missions. GRADES: Middle-school aged student groups (formal or informal) MUST be local (within driving distance) to the Kennedy Space Center (KSC). GROUP SIZE: Groups...
240,Oct 17 Lunabotics Junior Workshop*,REQUIREMENT: MUST BE WITHIN DRIVING DISTANCE OF KENNEDY SPACE CENTER WHAT: This robotic coding and navigation workshop is an authentic introduction to block coding using lunar simulations - based on upcoming Artemis missions. GRADES: Middle-school aged student groups (formal or informal) MUST be local (within driving distance) to the Kennedy Space Center (KSC). GROUP SIZE: Groups...
241,Nov 14 Lunabotics Junior Workshop*,REQUIREMENT: MUST BE WITHIN DRIVING DISTANCE OF KENNEDY SPACE CENTER WHAT: This robotic coding and navigation workshop is an authentic introduction to block coding using lunar simulations - based on upcoming Artemis missions. GRADES: Middle-school aged student groups (formal or informal) MUST be local (within driving distance) to the Kennedy Space Center (KSC). GROUP SIZE: Groups...
